support,itemsets
0.15792287642852368,frozenset({'whole milk'})
0.12210118291786407,frozenset({'other vegetables'})
0.11000467820624206,frozenset({'rolls/buns'})
0.09710619528169484,frozenset({'soda'})
0.08587850030074183,frozenset({'yogurt'})
0.06957160997126245,frozenset({'root vegetables'})
0.0677671589921807,frozenset({'tropical fruit'})
0.06068301811134131,frozenset({'bottled water'})
0.06034886052262247,frozenset({'sausage'})
0.05313105660629553,frozenset({'citrus fruit'})
0.0517275947336764,frozenset({'pastry'})
